No,Stadium Name,City,Region/State,Description
1,Bahtoo Stadium,Mandalay,Mandalay Region," multi-purpose stadium, located in downtown Mandalay, Myanmar. Its address is the corner of 71sr st and 30th st beside of the Bahtoo Sport Centre. "
2,Bogyoke Aung San Stadium,Yangon,Yangon Region,"The Bogyoke Aung San Stadium is a multi-purpose stadium, located in downtown Yangon, Myanmar. It was built as an athletic ground in 1906, which was completed in 1909 and named as Burma Athletic Association Ground, where many sports were held such as cricket, football and tennis.[2][3] The 400 m (1,300 ft) runway was constructed in 1935.[4]"
3,Dhanyawaddy Stadium,Sittwe,Rakhine /Arakan State,"Dhanyawaddy Stadium is a multi-use stadium in Sittwe, Burma. It is currently used mostly for football matches and is the home ground of Arakan United FC of the Myanmar Amateur League. The stadium has a capacity of 7,000 spectators."
4,Hpa-An Stadium,Hpa-An,Kayin State,"is a multi-purpose stadium, located in downtown Hpa-An, Myanmar. Hpa-An Stadium also hosts other local and regional football tournaments."
5,Kyaut Tie Stadium,Yangon,Yangon Region,"Ayar Stadium or Kyaut Tie Stadium is a multi-purpose stadium, located in downtown Pathein, Myanmar.It is the home ground of Ayeyawady United FC."
6,Magway Stadium,Magway,Magway Region,"Magway Stadium is a multi-use stadium in Magway, Burma. It is currently used mostly for football matches and is the home ground of Magway FC of the Myanmar National League. The stadium has a capacity of 7,000 spectators."
7,Mandalar Thiri Stadium,Mandalay,Mandalay Region,"Multi-purpose stadium, home to Yadanarbon F.C., hosted women's football in 2013 SEA Games."
8,Monywa Stadium,Monywa,Sagaing Region,"Monywa Stadium (Burmese: မုံရွာ အားကစားကွင်း) is a multi-use stadium in Monywa, Myanmar. It is currently used mostly for football matches and is the home ground of Sagaing United F.C. of the Myanmar National League. The stadium has a capacity of 5,000 spectators."
9,Padonmar Stadium,Yangon,Yangon Region,"Padonmar Stadium (Burmese: ပဒုမ္မာဘောလုံးကွင်း is a multi-use stadium, located in Yangon, Myanmar. The 3,000-seat stadium is smaller but more up-to-date than Aung San Stadium, and is the venue of choice for most national and international level football and track and field competitions."
10,Pathein Stadium,Pathein,Ayeyarwady Region,"Pathein Stadium is a multi-use stadium in Pathein, Burma. It is currently used mostly for football matches and is the home ground of Ayeyawady United of the Myanmar National League. The stadium holds 6,000 spectators."
11,Paung Laung Stadium,Pyinmana,Naypyidaw ,"Paung Laung Stadium is an association football stadium at Pyinmana, Naypyidaw, Myanmar."
12,Salin Stadium,Yangon,Yangon Region,"Salin Stadium (Burmese: စလင်း အားကစားကွင်း is a multi-use stadium, located in Yangon, Myanmar. The 3,000-seat stadium is smaller but more up-to-date than Aung San Stadium, and is the venue of choice for most national and international level football and track and field competitions.
"
13,Taunggyi Stadium,Taunggyi,Shan State,"Taunggyi Stadium is a multi-use stadium in Taunggyi, Myanmar. It is currently used mostly for football matches and is the home ground of Shan United F.C. of the Myanmar National League. The stadium has a capacity of 7,000 spectators."
14,Thuwunna Stadium,Yangon,Yangon Region,"The Thuwunna Youth Training Center Stadium (Burmese: သုဝဏ္ဏ လူငယ် လေ့ကျင့်ရေး ကွင်း), simply known as the Thuwunna Stadium, is a multi-purpose stadium located in Yangon, Myanmar. It is the venue of choice for most national and international football and track and field competitions.

The stadium's eight-lane running track is the first in Myanmar that conforms to IAAF standards."
15,Wai Thar Li Stadium,Sittwe,Rakhine /Arakan State,"Waitharli Stadium (Burmese: ဝေသာလီ ဘောလုံးကွင်း) is a football stadium. It is the home stadium of Rakhine United F.C. and is located in Sittwe, Rakhine State, Myanmar.
"
16,Wunna Theikdi Stadium,Naypyidaw,Naypyidaw ,"Wunna Theikdi Stadium (Burmese: ဝဏ္ဏသိဒ္ဒိ အားကစားကွင်း) is a multi-use stadium in Naypyidaw, Myanmar. It can seat 30,000 spectators.[2] The stadium hosted the 2013 Southeast Asian Games and 2014 ASEAN Para Games opening and closing ceremonies.[3] In addition, it hosted the events of 2015 National Sports Festival[4] and 2018 ASEAN University Games. Currently, it is hosting state and region sports competitions. There are offices of Myanmar Olympic Committee and Department of Youth Affairs of Ministry of Sports and Youth Affairs.[5]"
17,Yamanya Stadium,Mawlamyine,Mon State,"Yamanya Stadium is a multi-purpose stadium, located in downtown Mawlamyine, Myanmar.Yamanya Stadium also hosts other local and regional football tournaments."
18,Yangon United Sports Complex,Yangon,Yangon Region,"Yangon United Sports Complex is a multi-use stadium in Yangon, Burma. It is currently used mostly for football matches and is the home ground of Yangon United of the Myanmar National League. The stadium has a capacity of 3,500 spectators."
19,Zayarthiri Stadium,Zeyarthiri,Naypyidaw ,"Zayarthiri Stadium (Burmese: ဇေယျာသီရိ အားကစားကွင်း) is a multi-use stadium in Naypyidaw, Myanmar. It has a capacity of 30,000 spectators. Having been completed in 2012,[2] it is used mostly for football and athletics competitions. It also hosted men's football tournament for the 2013 Southeast Asian Games.[3] It was built along with Wunna Theikdi Stadium."